source	sample	population	superpopulation
1000g	HG02318	ACB	AFR
1000g	HG03898	STU	SAS
1000g	NA06985	CEU	EUR
1000g	HG02325	ACB	AFR
1000g	NA06997	CEU	EUR
1000g	HG02332	ACB	AFR
1000g	HG03848	STU	SAS
1000g	NA07022	CEU	EUR
1000g	HG02337	ACB	AFR
1000g	HG03850	STU	SAS
1000g	NA07034	CEU	EUR
1000g	HG03862	ITU	SAS
1000g	NA07349	CEU	EUR
1000g	HG02508	ACB	AFR
1000g	HG03867	ITU	SAS
1000g	NA10830	CEU	EUR
1000g	HG02522	KHV	EAS
1000g	HG03874	ITU	SAS
1000g	NA10835	CEU	EUR
1000g	HG02541	ACB	AFR
1000g	HG03824	BEB	SAS
1000g	NA10842	CEU	EUR
1000g	HG02546	ACB	AFR
1000g	HG03829	BEB	SAS
1000g	NA10847	CEU	EUR
1000g	HG02351	CDX	EAS
1000g	HG03831	BEB	SAS
1000g	NA10854	CEU	EUR
1000g	HG02356	CDX	EAS
1000g	HG03836	STU	SAS
1000g	NA10859	CEU	EUR
1000g	HG03937	BEB	SAS
1000g	NA10861	CEU	EUR
1000g	HG02375	CDX	EAS
1000g	HG03944	STU	SAS
1000g	NA11840	CEU	EUR
1000g	HG02382	CDX	EAS
1000g	HG03949	STU	SAS
1000g	NA12045	CEU	EUR
1000g	HG03951	STU	SAS
1000g	NA12057	CEU	EUR
1000g	HG02394	CDX	EAS
1000g	HG03797	BEB	SAS
1000g	HG04173	BEB	SAS
1000g	HG02399	CDX	EAS
1000g	HG03800	BEB	SAS
1000g	HG04180	BEB	SAS
1000g	HG02402	CDX	EAS
1000g	HG03805	BEB	SAS
1000g	HG04185	BEB	SAS
1000g	HG02407	CDX	EAS
1000g	HG03812	BEB	SAS
1000g	HG04192	BEB	SAS
1000g	HG02255	ACB	AFR
1000g	HG03817	BEB	SAS
1000g	HG02262	PEL	AMR
1000g	HG03906	BEB	SAS
1000g	HG04200	ITU	SAS
1000g	HG03913	BEB	SAS
1000g	HG04212	ITU	SAS
1000g	HG02274	PEL	AMR
1000g	HG03920	BEB	SAS
1000g	HG04217	ITU	SAS
1000g	HG02604	PJL	SAS
1000g	HG03925	BEB	SAS
1000g	HG04142	BEB	SAS
1000g	HG02611	GWD	AFR
1000g	HG03963	ITU	SAS
1000g	HG04147	BEB	SAS
1000g	HG02623	GWD	AFR
1000g	HG03968	ITU	SAS
1000g	HG04159	BEB	SAS
1000g	HG02628	GWD	AFR
1000g	HG04161	BEB	SAS
1000g	HG02630	GWD	AFR
1000g	HG03778	ITU	SAS
1000g	HG04096	ITU	SAS
1000g	HG02635	GWD	AFR
1000g	HG03780	ITU	SAS
1000g	HG02642	GWD	AFR
1000g	HG03785	ITU	SAS
1000g	HG04135	BEB	SAS
1000g	HG02647	GWD	AFR
1000g	HG03792	ITU	SAS
1000g	NA18555	CHB	EAS
