source	sample	sex	population	population_name	long_ID	pop_ID	annotation	superpopulation	superpopulation_name
appg	APPG7555944	Male	YEM	Yemen	longranger222_wgs_27489_APPG7555944_GRCh38_gatk	YEMEN19	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555945	Female	YEM	Yemen	longranger222_wgs_27489_APPG7555945_GRCh38_gatk	YEMEN20	Yemen.o	MEA	Middle Eastern Ancestry
appg	APPG7555946	Female	YEM	Yemen	longranger222_wgs_27489_APPG7555946_GRCh38_gatk	YEMEN21	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7555947	Female	SYR	Syria	longranger222_wgs_27489_APPG7555947_GRCh38_gatk	SYRIA1	Syria	MEA	Middle Eastern Ancestry
appg	APPG7555948	Male	SYR	Syria	longranger222_wgs_27489_APPG7555948_GRCh38_gatk	SYRIA2	Syria	MEA	Middle Eastern Ancestry
appg	APPG7555949	Male	SAU	Saudi Arabia	longranger222_wgs_27489_APPG7555949_GRCh38_gatk	SAUDI1	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7555950	Female	SAU	Saudi Arabia	longranger222_wgs_27489_APPG7555950_GRCh38_gatk	SAUDI2	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7555951	Male	SAU	Saudi Arabia	longranger222_wgs_27633_APPG7555951_GRCh38_gatk	SAUDI3	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7555952	Male	SAU	Saudi Arabia	longranger222_wgs_27633_APPG7555952_GRCh38_gatk	SAUDI4	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7555953	Male	SAU	Saudi Arabia	longranger222_wgs_27631_APPG7555953_GRCh38_gatk	SAUDI5	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7555954	Male	SAU	Saudi Arabia	longranger222_wgs_27631_APPG7555954_GRCh38_gatk	SAUDI6	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7555955	Male	SAU	Saudi Arabia	longranger222_wgs_27631_APPG7555955_GRCh38_gatk	SAUDI7	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7555956	Female	SAU	Saudi Arabia	longranger222_wgs_27631_APPG7555956_GRCh38_gatk	SAUDI8	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7555957	Male	SAU	Saudi Arabia	longranger222_wgs_27631_APPG7555957_GRCh38_gatk	SAUDI9	SaudiB	MEA	Middle Eastern Ancestry
