source	sample	population	population_name	superpopulation	superpopulation_name
hgdp	HGDP00130	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00131	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00133	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00134	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00135	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00136	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00137	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00139	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00140	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00141	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00143	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00144	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00145	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00146	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00148	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00149	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00150	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00151	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00153	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00154	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00155	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00158	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00161	MKR	Makrani	CSA	Central and South Asian Ancestry
hgdp	HGDP00163	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00165	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00167	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00169	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00171	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00173	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00175	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00177	SND	Sindhi	CSA	Central and South Asian Ancestry
