source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
1000g	HG00281	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00282	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00284	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00285	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00288	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00290	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00304	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00306	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00308	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00309	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00310	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00311	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00313	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00315	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00318	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00319	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00320	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00321	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00323	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00324	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00325	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00326	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00327	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00328	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00329	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00330	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00331	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00332	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00334	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00335	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00336	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00337	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00338	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00339	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00341	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00342	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00343	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00344	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00345	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00346	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00349	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00350	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00351	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00353	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
